classification,gutenberg_id,title,author,paragraph_text,word_count,paragraph_count,suitable,reasoning,canonical_answer,distractors,keyword_flags,difficulty_tier,tier,pipeline_version,status
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","The dancers were going faster and faster, and the musicians, to keep up with them, belaboured their instruments like jockeys lashing their mounts on the home-stretch; yet it seemed to the young man at the window that the reel would never end. Now and then he turned his eyes from the girl’s face to that of her partner, which, in the exhilaration of the dance, had taken on a look of almost impudent ownership. Denis Eady was the son of Michael Eady, the ambitious Irish grocer, whose suppleness and effrontery had given Starkfield its first notion of “smart” business methods, and whose new brick store testified to the success of the attempt. His son seemed likely to follow in his steps, and was meanwhile applying the same arts to the conquest of the Starkfield maidenhood. Hitherto Ethan Frome had been content to think him a mean fellow; but now he positively invited a horse-whipping. It was strange that the girl did not seem aware of it: that she could lift her rapt face to her dancer’s, and drop her hands into his, without appearing to feel the offence of his look and touch.",193,1,false,"Q2: The simile 'belaboured their instruments like jockeys lashing their mounts on the home-stretch' is the only figurative device present and is a brief embedded clause. The dominant cognitive work of the passage is character observation, social characterization of Denis Eady, and Ethan's jealous emotional reaction — not metaphor/simile comprehension. The figurative element is subordinate to the narrative-social content.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","That thrust had frightened him more than any vague insinuations about Denis Eady. It was a fact that since Mattie Silver’s coming he had taken to shaving every day; but his wife always seemed to be asleep when he left her side in the winter darkness, and he had stupidly assumed that she would not notice any change in his appearance. Once or twice in the past he had been faintly disquieted by Zenobia’s way of letting things happen without seeming to remark them, and then, weeks afterward, in a casual phrase, revealing that she had all along taken her notes and drawn her inferences. Of late, however, there had been no room in his thoughts for such vague apprehensions. Zeena herself, from an oppressive reality, had faded into an insubstantial shade. All his life was lived in the sight and sound of Mattie Silver, and he could no longer conceive of its being otherwise. But now, as he stood outside the church, and saw Mattie spinning down the floor with Denis Eady, a throng of disregarded hints and menaces wove their cloud about his brain....",186,1,false,"Q2 dominance failure: The metaphorical/figurative language present (e.g., 'faded into an insubstantial shade,' 'wove their cloud about his brain') is subordinate to the dominant signal of character psychology, jealousy, and interior emotional observation. The passage's primary cognitive work is tracking Ethan's anxiety about Zeena's surveillance and his jealousy watching Mattie dance — figurative language appears as atmospheric coloring at sentence level rather than as the dominant structural and meaning-making device. Additionally, Q5 fails: the figurative elements are sparse and diffused across a dense psychological narrative; fewer than 3-4 discrete pointable metaphor/simile elements exist at distinct signal levels, and the simile/metaphor strand lacks sufficient foil contrast for discrimination item construction.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","In spite of her sedentary habits such abrupt decisions were not without precedent in Zeena’s history. Twice or thrice before she had suddenly packed Ethan’s valise and started off to Bettsbridge, or even Springfield, to seek the advice of some new doctor, and her husband had grown to dread these expeditions because of their cost. Zeena always came back laden with expensive remedies, and her last visit to Springfield had been commemorated by her paying twenty dollars for an electric battery of which she had never been able to learn the use. But for the moment his sense of relief was so great as to preclude all other feelings. He had now no doubt that Zeena had spoken the truth in saying, the night before, that she had sat up because she felt “too mean” to sleep: her abrupt resolve to seek medical advice showed that, as usual, she was wholly absorbed in her health.",155,1,false,"Q1 fail: The passage contains no meaningful figurative language signal, and specifically no metaphor or simile. The language is predominantly literal, direct narrative prose describing Zeena's behavior and Ethan's reactions. The phrase 'laden with expensive remedies' is mildly figurative but functions almost entirely as literal description. There is no comparison using 'like' or 'as,' no implied metaphor, no figurative construction that requires meaning-recovery beyond the literal. The target skill — metaphor and simile as per ELA.9.R.3.1 — is simply absent from this passage.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","Zeena’s native village was slightly larger and nearer to the railway than Starkfield, and she had let her husband see from the first that life on an isolated farm was not what she had expected when she married. But purchasers were slow in coming, and while he waited for them Ethan learned the impossibility of transplanting her. She chose to look down on Starkfield, but she could not have lived in a place which looked down on her. Even Bettsbridge or Shadd’s Falls would not have been sufficiently aware of her, and in the greater cities which attracted Ethan she would have suffered a complete loss of identity. And within a year of their marriage she developed the “sickliness” which had since made her notable even in a community rich in pathological instances. When she came to take care of his mother she had seemed to Ethan like the very genius of health, but he soon saw that her skill as a nurse had been acquired by the absorbed observation of her own symptoms.",174,1,false,"Q2 dominance failure: the single simile ('like the very genius of health') is subordinate to character exposition and ironic characterization. The dominant cognitive work in the passage is understanding Zeena's psychology and the ironic reveal about her hypochondria, not detecting or constructing meaning from figurative comparison. The simile functions as a supporting detail within a larger character portrait rather than as the primary signal the reader is meant to work with.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","He walked on to the church corner and entered the shade of the Varnum spruces, where he had stood with her the night before. As he passed into their gloom he saw an indistinct outline just ahead of him. At his approach it melted for an instant into two separate shapes and then conjoined again, and he heard a kiss, and a half-laughing “Oh!” provoked by the discovery of his presence. Again the outline hastily disunited and the Varnum gate slammed on one half while the other hurried on ahead of him. Ethan smiled at the discomfiture he had caused. What did it matter to Ned Hale and Ruth Varnum if they were caught kissing each other? Everybody in Starkfield knew they were engaged. It pleased Ethan to have surprised a pair of lovers on the spot where he and Mattie had stood with such a thirst for each other in their hearts; but he felt a pang at the thought that these two need not hide their happiness.",169,1,false,"Q1 FAIL: The passage does not contain teachable metaphor or simile signals. The language is predominantly literal and narrative. 'A thirst for each other in their hearts' is the only figurative element present, and it functions as a mild embedded idiom/metaphor rather than a dominant, pointable comparison. There is no simile construction and no extended metaphor. The passage's cognitive work is character interiority and situational irony (Ethan observing engaged lovers while he must hide his own feelings), not figurative language recognition. Q2 fails for the same reason — the dominant signal is emotional contrast and situational irony, not metaphor/simile.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","His alteration of mood seemed to have communicated itself to Mattie. She looked up at him languidly, as though her lids were weighted with sleep and it cost her an effort to raise them. Her glance fell on his hand, which now completely covered the end of her work and grasped it as if it were a part of herself. He saw a scarcely perceptible tremor cross her face, and without knowing what he did he stooped his head and kissed the bit of stuff in his hold. As his lips rested on it he felt it glide slowly from beneath them, and saw that Mattie had risen and was silently rolling up her work. She fastened it with a pin, and then, finding her thimble and scissors, put them with the roll of stuff into the box covered with fancy paper which he had once brought to her from Bettsbridge.",151,1,false,"Q1 PRESENCE FAIL: The passage contains no meaningful figurative language signal, specifically no metaphor or simile. The one phrase that approaches figurative language — 'grasped it as if it were a part of herself' — is a simile-adjacent construction, but it functions primarily as a literal description of emotional attachment through physical gesture, not as a comparison requiring figurative interpretation. There are no metaphors, no comparisons without literal intent, and no figurative constructions that require the student to recover meaning the author is not saying directly. The dominant cognitive work in this passage is close reading of physical gesture and emotional subtext — an inference-about-character task, not a figurative language task.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","As soon as the sledge was loaded he meant to send Jotham back to the farm and hurry on foot into the village to buy the glue for the pickle-dish. With ordinary luck he should have had time to carry out this plan; but everything went wrong from the start. On the way over to the wood-lot one of the greys slipped on a glare of ice and cut his knee; and when they got him up again Jotham had to go back to the barn for a strip of rag to bind the cut. Then, when the loading finally began, a sleety rain was coming down once more, and the tree trunks were so slippery that it took twice as long as usual to lift them and get them in place on the sledge. It was what Jotham called a sour morning for work, and the horses, shivering and stamping under their wet blankets, seemed to like it as little as the men. It was long past the dinner-hour when the job was done, and Ethan had to give up going to the village because he wanted to lead the injured horse home and wash the cut himself.",199,1,false,"Q2 dominance failure: the figurative language present is sparse and subordinate to plot action and logistical narrative. The passage is overwhelmingly a sequence of events (horse slips, rag retrieved, loading delayed, rain falls, Ethan abandons village plan). The two figurative elements — 'a sour morning for work' (idiomatic/metaphorical attribution) and 'seemed to like it as little as the men' (mild personification/comparison) — are incidental texture within a problem-chain plot sequence, not the dominant cognitive signal. A student reading this passage is doing plot sequencing work, not figurative language recovery work.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","Ethan looked at her with loathing. She was no longer the listless creature who had lived at his side in a state of sullen self-absorption, but a mysterious alien presence, an evil energy secreted from the long years of silent brooding. It was the sense of his helplessness that sharpened his antipathy. There had never been anything in her that one could appeal to; but as long as he could ignore and command he had remained indifferent. Now she had mastered him and he abhorred her. Mattie was her relation, not his: there were no means by which he could compel her to keep the girl under her roof. All the long misery of his baffled past, of his youth of failure, hardship and vain effort, rose up in his soul in bitterness and seemed to take shape before him in the woman who at every turn had barred his way. She had taken everything else from him; and now she meant to take the one thing that made up for all the others. For a moment such a flame of hate rose in him that it ran down his arm and clenched his fist against her. He took a wild step forward and then stopped.",206,1,false,"Q5 fail: insufficient evidence density for any viable item pattern. The passage contains only 2 pointable figurative elements — 'a mysterious alien presence, an evil energy secreted from the long years of silent brooding' and 'such a flame of hate rose in him that it ran down his arm and clenched his fist' — with the remaining text being interior emotional narration and plot-level exposition. This does not meet the minimum 3-4 discrete pointable elements required for 5a, lacks the density for 5b, and the dominant concept is not cleanly isolable from the surrounding character psychology for 5c. No identifiable structural/craft pivot for 5d.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","He knew a case of a man over the mountain—a young fellow of about his own age—who had escaped from just such a life of misery by going West with the girl he cared for. His wife had divorced him, and he had married the girl and prospered. Ethan had seen the couple the summer before at Shadd’s Falls, where they had come to visit relatives. They had a little girl with fair curls, who wore a gold locket and was dressed like a princess. The deserted wife had not done badly either. Her husband had given her the farm and she had managed to sell it, and with that and the alimony she had started a lunch-room at Bettsbridge and bloomed into activity and importance. Ethan was fired by the thought. Why should he not leave with Mattie the next day, instead of letting her go alone? He would hide his valise under the seat of the sleigh, and Zeena would suspect nothing till she went upstairs for her afternoon nap and found a letter on the bed....",179,1,false,"Q1 FAIL: The passage contains no meaningful metaphor or simile signal. The phrase 'dressed like a princess' is the only simile present, and it functions as a brief descriptive flourish rather than a teachable figurative language moment. 'Bloomed into activity and importance' is a mild metaphor but operates almost as a dead metaphor / idiom rather than a constructed comparison the student is meant to unpack. Neither element rises to a teachable, dominant figurative language signal for ELA.9.R.3.1.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","His pen paused on the word, which brought home to him the relentless conditions of his lot. If he gave the farm and mill to Zeena what would be left him to start his own life with? Once in the West he was sure of picking up work—he would not have feared to try his chance alone. But with Mattie depending on him the case was different. And what of Zeena’s fate? Farm and mill were mortgaged to the limit of their value, and even if she found a purchaser—in itself an unlikely chance—it was doubtful if she could clear a thousand dollars on the sale. Meanwhile, how could she keep the farm going? It was only by incessant labour and personal supervision that Ethan drew a meagre living from his land, and his wife, even if she were in better health than she imagined, could never carry such a burden alone.",152,1,false,"Q1 FAIL: The passage contains no meaningful figurative language signal, and specifically no metaphor or simile (the ELA.9.R.3.1 harvest target). The single potentially figurative phrase 'carry such a burden alone' is a dead idiom/cliché with no active metaphorical construction. All other language is literal — financial calculation, conditional reasoning, and plot-level problem-solving. There is nothing for a student to identify as a comparison without literal intent, nor any language requiring figurative decoding to recover meaning.",,,,,,v4,rejected_by_filter
figurative_language_failure,4517,Ethan Frome,"Wharton, Edith","As he lay there, the window-pane that faced him, growing gradually lighter, inlaid upon the darkness a square of moon-suffused sky. A crooked tree-branch crossed it, a branch of the apple-tree under which, on summer evenings, he had sometimes found Mattie sitting when he came up from the mill. Slowly the rim of the rainy vapours caught fire and burnt away, and a pure moon swung into the blue. Ethan, rising on his elbow, watched the landscape whiten and shape itself under the sculpture of the moon. This was the night on which he was to have taken Mattie coasting, and there hung the lamp to light them! He looked out at the slopes bathed in lustre, the silver-edged darkness of the woods, the spectral purple of the hills against the sky, and it seemed as though all the beauty of the night had been poured out to mock his wretchedness....",151,1,false,"Q2 dominance fail: The passage is primarily atmospheric/descriptive — sensory imagery and mood dominate the figurative landscape. While metaphor and simile-adjacent constructions exist ('the rim of the rainy vapours caught fire,' 'the sculpture of the moon,' 'all the beauty of the night had been poured out to mock his wretchedness'), these function as embedded ornaments within a sustained atmospheric description rather than as the primary cognitive work. The dominant signal is mood/imagery (sensory accumulation building emotional desolation), not metaphor/simile as a teachable comparison mechanism. A student working this passage would primarily be reading for tone and atmosphere, not recovering meaning from figurative comparison. Additionally, Q5 fails: the figurative elements lack sufficient discrimination density — supporting elements blur into the same atmospheric register rather than standing distinctly apart from neutral elements, making a clean MCQ or multi-select item impossible to construct without forcing artificial distinctions.",,,,,,v4,rejected_by_filter
