classification,gutenberg_id,title,author,paragraph_text,word_count,paragraph_count,suitable,reasoning,canonical_answer,distractors,keyword_flags,difficulty_tier,tier,pipeline_version,status
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","This occurrence took place very soon after I went to live with my old master, and under the following circumstances. Aunt Hester went out one night,—where or for what I do not know,—and happened to be absent when my master desired her presence. He had ordered her not to go out evenings, and warned her that she must never let him catch her in company with a young man, who was paying attention to her belonging to Colonel Lloyd. The young man’s name was Ned Roberts, generally called Lloyd’s Ned. Why master was so careful of her, may be safely left to conjecture. She was a woman of noble form, and of graceful proportions, having very few equals, and fewer superiors, in personal appearance, among the colored or white women of our neighborhood.",133,1,false,"Q4 and Q5 fail. The passage fails Q4 on the ADDITIONAL FORMAT EXCLUSIONS clause: this is first-person memoir/autobiographical nonfiction (Narrative of the Life of Frederick Douglass), which is explicitly listed as a rejection category unless explicitly permitted. Additionally, the passage contains language and subject matter — the implied sexual threat against an enslaved woman, the euphemistic language around sexual predation — that, while historically significant, creates a harmful interpretive burden for Title I 9th graders and triggers the harmful language/content exclusion. On Q5: while 2 target-supporting elements are identifiable, the ironic mechanism ('Why master was so careful of her, may be safely left to conjecture') requires students to infer a sinister sexual subtext that is not explicitly named in the passage, making item construction dependent on that inferential leap rather than on discrete pointable tone signals. The evidence density for clean discrimination items is insufficient — fewer than 3-4 discrete, clearly pointable elements at distinct signal levels.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","The colonel also kept a splendid riding equipage. His stable and carriage-house presented the appearance of some of our large city livery establishments. His horses were of the finest form and noblest blood. His carriage-house contained three splendid coaches, three or four gigs, besides dearborns and barouches of the most fashionable style.",52,1,false,"Q2 DOMINANCE FAIL: The passage reads as nearly pure descriptive inventory — a catalog of the colonel's possessions (coaches, gigs, dearborns, barouches, horses). Any ironic or critical authorial tone is latent and requires the reader to supply outside context (the fact that Douglass is an enslaved man describing his enslaver's luxury) to activate the tone signal. The words on the page alone present a mostly neutral, even admiring surface description. The tone_misreading skill requires a detectable gap between surface presentation and authorial attitude, but that gap is not surfaced within this passage — it is schema-gated behind knowledge of Douglass's identity and the slavery context. Without that external schema, the passage simply describes wealth without a legible ironic or critical layer. Dominance of tone_misreading therefore fails. Q5 also fails: the passage yields only 2-3 discrete pointable elements total (all descriptive), insufficient for evidence discrimination or multi-select; the dominant concept is not cleanly nameable without external context, blocking 5c; and there is no identifiable craft pivot for 5d.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","This occurrence took place very soon after I went to live with my old master, and under the following circumstances. Aunt Hester went out one night,—where or for what I do not know,—and happened to be absent when my master desired her presence. He had ordered her not to go out evenings, and warned her that she must never let him catch her in company with a young man, who was paying attention to her belonging to Colonel Lloyd. The young man’s name was Ned Roberts, generally called Lloyd’s Ned. Why master was so careful of her, may be safely left to conjecture. She was a woman of noble form, and of graceful proportions, having very few equals, and fewer superiors, in personal appearance, among the colored or white women of our neighborhood.",133,1,false,"Q2 DOMINANCE FAIL: The tone signal — Douglass's bitter, indignant, ironic contempt toward the master — is present but competes heavily with narrative/plot action (Aunt Hester's absence, the master's orders, the setup of an imminent punishment scene) and character description. The passage functions primarily as scene-setting and exposition for a dramatic event; the authorial tone toward the master is a secondary, embedded feature rather than the dominant cognitive work. A reader engaging the passage will be primarily tracking the narrative situation, not analyzing authorial attitude. Additionally, Q5 fails: while the ironic phrase 'Why master was so careful of her, may be safely left to conjecture' and the description of Aunt Hester as a woman of 'noble form' are target-supporting, there are fewer than 3-4 discrete, cleanly pointable evidence elements at distinguishable signal levels to support a discrimination item. The passage is also a slavery memoir passage with content that, while historically significant, is not straightforwardly usable in a Title I 9th grade intervention cohort context given the sexual coercion subtext and the racial violence framing.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","My master’s family consisted of two sons, Andrew and Richard; one daughter, Lucretia, and her husband, Captain Thomas Auld. They lived in one house, upon the home plantation of Colonel Edward Lloyd. My master was Colonel Lloyd’s clerk and superintendent. He was what might be called the overseer of the overseers. I spent two years of childhood on this plantation in my old master’s family. It was here that I witnessed the bloody transaction recorded in the first chapter; and as I received my first impressions of slavery on this plantation, I will give some description of it, and of slavery as it there existed. The plantation is about twelve miles north of Easton, in Talbot county, and is situated on the border of Miles River. The principal products raised upon it were tobacco, corn, and wheat. These were raised in great abundance; so that, with the products of this and the other farms belonging to him, he was able to keep in almost constant employment a large sloop, in carrying them to market at Baltimore. This sloop was named Sally Lloyd, in honor of one of the colonel’s daughters. My master’s son-in-law, Captain Auld, was master of the vessel; she was otherwise manned by the colonel’s own slaves. Their names were Peter, Isaac, Rich, and Jake. These were esteemed very highly by the other slaves, and looked upon as the privileged ones of the plantation; for it was no small affair, in the eyes of the slaves, to be allowed to see Baltimore.",254,1,false,"Q2 dominance failure: The passage is primarily descriptive and expository — it catalogs plantation geography, products, the sloop, family members, and slave names. The tone signal (controlled, detached surface over suppressed bitterness/indignation) is present but subordinate to the documentary function of the passage. A student's primary cognitive work is tracking who, what, and where, not reading authorial attitude. The one emotionally charged moment ('bloody transaction recorded in the first chapter') is a brief reference to an event outside the passage, not developed here. The irony of the sloop's name, the slaves 'esteemed' for merely being allowed to see Baltimore — these are thin and scattered signals, not the dominant cognitive demand of the passage.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","Colonel Lloyd kept from three to four hundred slaves on his home plantation, and owned a large number more on the neighboring farms belonging to him. The names of the farms nearest to the home plantation were Wye Town and New Design. “Wye Town” was under the overseership of a man named Noah Willis. New Design was under the overseership of a Mr. Townsend. The overseers of these, and all the rest of the farms, numbering over twenty, received advice and direction from the managers of the home plantation. This was the great business place. It was the seat of government for the whole twenty farms. All disputes among the overseers were settled here. If a slave was convicted of any high misdemeanor, became unmanageable, or evinced a determination to run away, he was brought immediately here, severely whipped, put on board the sloop, carried to Baltimore, and sold to Austin Woolfolk, or some other slave-trader, as a warning to the slaves remaining.",163,1,false,"Q2 DOMINANCE FAIL: The passage is primarily descriptive and informational — it catalogs the administrative structure of the plantation system (farm names, overseers, chain of command). The tone signal (critical, indignant, bitter) is present but subordinate to the documentary-style enumeration of facts. The most tonally charged sentence ('severely whipped, put on board the sloop, carried to Baltimore, and sold to Austin Woolfolk, or some other slave-trader, as a warning') arrives only at the end and operates as one item in a procedural list rather than as the dominant cognitive work of the passage. A student's primary work is processing the organizational hierarchy described, not reading authorial attitude. The tone is detectable but secondary.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","Here, too, the slaves of all the other farms received their monthly allowance of food, and their yearly clothing. The men and women slaves received, as their monthly allowance of food, eight pounds of pork, or its equivalent in fish, and one bushel of corn meal. Their yearly clothing consisted of two coarse linen shirts, one pair of linen trousers, like the shirts, one jacket, one pair of trousers for winter, made of coarse negro cloth, one pair of stockings, and one pair of shoes; the whole of which could not have cost more than seven dollars. The allowance of the slave children was given to their mothers, or the old women having the care of them. The children unable to work in the field had neither shoes, stockings, jackets, nor trousers, given to them; their clothing consisted of two coarse linen shirts per year. When these failed them, they went naked until the next allowance-day. Children from seven to ten years old, of both sexes, almost naked, might be seen at all seasons of the year.",177,1,false,"Q4: The passage's dominant register is clinical enumeration — a deliberate rhetorical strategy of detached documentation that itself carries the indignant/critical tone. However, for a Title I 9th grader, this flat inventory style risks being read as purely descriptive rather than tonal, creating a cognitive access barrier. The tone signal (Douglass's controlled indignation expressed through the very absence of emotional language) is a sophisticated craft move that operates at a level above the canonical vocabulary anchors a struggling reader can reliably detect. Additionally, the format exclusion for first-person nonfiction/memoir applies: this is autobiographical first-person nonfiction (Narrative of the Life of Frederick Douglass), which is explicitly listed as a rejection criterion unless permitted for this classification. No such permission is noted. Additionally, the passage contains the historically harmful racial term 'negro cloth,' which would cause harm in a Title I cohort regardless of historical context — this alone is sufficient grounds for rejection under Q4's format exclusion criteria.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","Mr. Severe was rightly named: he was a cruel man. I have seen him whip a woman, causing the blood to run half an hour at the time; and this, too, in the midst of her crying children, pleading for their mother’s release. He seemed to take pleasure in manifesting his fiendish barbarity. Added to his cruelty, he was a profane swearer. It was enough to chill the blood and stiffen the hair of an ordinary man to hear him talk. Scarce a sentence escaped him but that was commenced or concluded by some horrid oath. The field was the place to witness his cruelty and profanity. His presence made it both the field of blood and of blasphemy. From the rising till the going down of the sun, he was cursing, raving, cutting, and slashing among the slaves of the field, in the most frightful manner. His career was short. He died very soon after I went to Colonel Lloyd’s; and he died as he lived, uttering, with his dying groans, bitter curses and horrid oaths. His death was regarded by the slaves as the result of a merciful providence.",191,1,false,"Q5 FAIL: The passage's tone signal is overwhelmingly uniform — every sentence sustains the same indignant, condemning register without tonal variation, neutral elements, or contrasting surface signals. This uniformity prevents construction of a valid discrimination item. There are no pointable non-supporting elements that carry a genuinely different or neutral signal; all details reinforce the same condemnatory tone. 5a requires 2+ non-supporting elements for foil construction — none exist here. 5b is a single paragraph with no density variation. 5c fails because the concept (indignant/contemptuous) is unambiguous with no tempting competing distractors that a student might plausibly misread — the tone is too overt to generate genuine discrimination. 5d has no identifiable craft pivot or structural shift; the register is flat and unvarying throughout.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","This occurrence took place very soon after I went to live with my old master, and under the following circumstances. Aunt Hester went out one night,—where or for what I do not know,—and happened to be absent when my master desired her presence. He had ordered her not to go out evenings, and warned her that she must never let him catch her in company with a young man, who was paying attention to her belonging to Colonel Lloyd. The young man’s name was Ned Roberts, generally called Lloyd’s Ned. Why master was so careful of her, may be safely left to conjecture. She was a woman of noble form, and of graceful proportions, having very few equals, and fewer superiors, in personal appearance, among the colored or white women of our neighborhood.

Aunt Hester had not only disobeyed his orders in going out, but had been found in company with Lloyd’s Ned; which circumstance, I found, from what he said while whipping her, was the chief offence. Had he been a man of pure morals himself, he might have been thought interested in protecting the innocence of my aunt; but those who knew him will not suspect him of any such virtue. Before he commenced whipping Aunt Hester, he took her into the kitchen, and stripped her from neck to waist, leaving her neck, shoulders, and back, entirely naked. He then told her to cross her hands, calling her at the same time a d——d b—-h. After crossing her hands, he tied them with a strong rope, and led her to a stool under a large hook in the joist, put in for the purpose. He made her get upon the stool, and tied her hands to the hook. She now stood fair for his infernal purpose. Her arms were stretched up at their full length, so that she stood upon the ends of her toes. He then said to her, “Now, you d——d b—-h, I’ll learn you how to disobey my orders!” and after rolling up his sleeves, he commenced to lay on the heavy cowskin, and soon the warm, red blood (amid heart-rending shrieks from her, and horrid oaths from him) came dripping to the floor. I was so terrified and horror-stricken at the sight, that I hid myself in a closet, and dared not venture out till long after the bloody transaction was over. I expected it would be my turn next. It was all new to me. I had never seen any thing like it before. I had always lived with my grandmother on the outskirts of the plantation, where she was put to raise the children of the younger women. I had therefore been, until now, out of the way of the bloody scenes that often occurred on the plantation.",466,2,false,"Q2 DOMINANCE FAIL: The dominant cognitive work in this passage is visceral narrative event and character emotion (the child narrator's terror, the graphic violence of the whipping scene). Douglass's authorial tone — indignant, bitterly ironic, contemptuous toward the master — is present but subordinate to the overwhelming plot action and emotional intensity of the scene itself. A reader's attention is consumed by what is happening, not by how Douglass as author positions himself toward the subject. The tone signal (e.g., 'infernal purpose,' 'those who knew him will not suspect him of any such virtue') exists but functions as annotation to the event, not as the primary cognitive load. Q4 ISOLATION FAIL: The passage carries severe competing cognitive load — graphic violence, traumatic content, a child narrator in terror — that would overwhelm a Title I 9th grader's capacity to step back and analyze authorial stance. The emotional pull of the scene actively interferes with the metacognitive work required to isolate tone from mood and character feeling. Q5 FAIL: Because dominance and isolation fail, item constructability is also compromised — the available evidence elements (e.g., 'infernal purpose,' 'pure morals himself') are too embedded in narrative action to cleanly discriminate authorial tone from scene description for a standard MCQ discrimination item.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","My master’s family consisted of two sons, Andrew and Richard; one daughter, Lucretia, and her husband, Captain Thomas Auld. They lived in one house, upon the home plantation of Colonel Edward Lloyd. My master was Colonel Lloyd’s clerk and superintendent. He was what might be called the overseer of the overseers. I spent two years of childhood on this plantation in my old master’s family. It was here that I witnessed the bloody transaction recorded in the first chapter; and as I received my first impressions of slavery on this plantation, I will give some description of it, and of slavery as it there existed. The plantation is about twelve miles north of Easton, in Talbot county, and is situated on the border of Miles River. The principal products raised upon it were tobacco, corn, and wheat. These were raised in great abundance; so that, with the products of this and the other farms belonging to him, he was able to keep in almost constant employment a large sloop, in carrying them to market at Baltimore. This sloop was named Sally Lloyd, in honor of one of the colonel’s daughters. My master’s son-in-law, Captain Auld, was master of the vessel; she was otherwise manned by the colonel’s own slaves. Their names were Peter, Isaac, Rich, and Jake. These were esteemed very highly by the other slaves, and looked upon as the privileged ones of the plantation; for it was no small affair, in the eyes of the slaves, to be allowed to see Baltimore.

Colonel Lloyd kept from three to four hundred slaves on his home plantation, and owned a large number more on the neighboring farms belonging to him. The names of the farms nearest to the home plantation were Wye Town and New Design. “Wye Town” was under the overseership of a man named Noah Willis. New Design was under the overseership of a Mr. Townsend. The overseers of these, and all the rest of the farms, numbering over twenty, received advice and direction from the managers of the home plantation. This was the great business place. It was the seat of government for the whole twenty farms. All disputes among the overseers were settled here. If a slave was convicted of any high misdemeanor, became unmanageable, or evinced a determination to run away, he was brought immediately here, severely whipped, put on board the sloop, carried to Baltimore, and sold to Austin Woolfolk, or some other slave-trader, as a warning to the slaves remaining.",417,2,false,"Q2 dominance failure: the passage is overwhelmingly documentary and descriptive — geography, farm names, crop lists, personnel rosters, slave names, sloop logistics — with the author's tone (bitter, indignant, ironic) emerging only at select moments, subordinate to the dominant signal of detailed factual inventory. The cognitive work a student must do is primarily tracking and organizing descriptive information, not reading authorial attitude. Tone misreading is present but not dominant.",,,,,,v3,rejected_by_filter
tone_misreading,23,"Narrative of the Life of Frederick Douglass, an American Slave","Douglass, Frederick","Colonel Lloyd kept from three to four hundred slaves on his home plantation, and owned a large number more on the neighboring farms belonging to him. The names of the farms nearest to the home plantation were Wye Town and New Design. “Wye Town” was under the overseership of a man named Noah Willis. New Design was under the overseership of a Mr. Townsend. The overseers of these, and all the rest of the farms, numbering over twenty, received advice and direction from the managers of the home plantation. This was the great business place. It was the seat of government for the whole twenty farms. All disputes among the overseers were settled here. If a slave was convicted of any high misdemeanor, became unmanageable, or evinced a determination to run away, he was brought immediately here, severely whipped, put on board the sloop, carried to Baltimore, and sold to Austin Woolfolk, or some other slave-trader, as a warning to the slaves remaining.

Here, too, the slaves of all the other farms received their monthly allowance of food, and their yearly clothing. The men and women slaves received, as their monthly allowance of food, eight pounds of pork, or its equivalent in fish, and one bushel of corn meal. Their yearly clothing consisted of two coarse linen shirts, one pair of linen trousers, like the shirts, one jacket, one pair of trousers for winter, made of coarse negro cloth, one pair of stockings, and one pair of shoes; the whole of which could not have cost more than seven dollars. The allowance of the slave children was given to their mothers, or the old women having the care of them. The children unable to work in the field had neither shoes, stockings, jackets, nor trousers, given to them; their clothing consisted of two coarse linen shirts per year. When these failed them, they went naked until the next allowance-day. Children from seven to ten years old, of both sexes, almost naked, might be seen at all seasons of the year.",340,2,false,"Q4: The passage contains historically harmful racial language ('negro cloth', repeated dehumanizing enumeration of enslaved people as property inventory) that would cause student harm in a Title I cohort regardless of historical or literary merit. The format exclusion rule applies.",,,,,,v3,rejected_by_filter
