classification,gutenberg_id,title,author,paragraph_text,word_count,paragraph_count,suitable,reasoning,canonical_answer,distractors,keyword_flags,difficulty_tier,tier,pipeline_version,status
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","In regard to the depth of the water, I could not see how this could have been ascertained at all in the immediate vicinity of the vortex. The “forty fathoms” must have reference only to portions of the channel close upon the shore either of Moskoe or Lofoden. The depth in the centre of the Moskoe-ström must be immeasurably greater; and no better proof of this fact is necessary than can be obtained from even the sidelong glance into the abyss of the whirl which may be had from the highest crag of Helseggen. Looking down from this pinnacle upon the howling Phlegethon below, I could not help smiling at the simplicity with which the honest Jonas Ramus records, as a matter difficult of belief, the anecdotes of the whales and the bears; for it appeared to me, in fact, a self-evident thing, that the largest ship of the line in existence, coming within the influence of that deadly attraction, could resist it as little as a feather the hurricane, and must disappear bodily and at once.",177,1,false,"Q2 dominance fail: The passage is primarily a quasi-analytical argument — the narrator is disputing a source's depth measurement and establishing the vortex's scale through reasoned logic. The cognitive work asked of the reader is following an argumentative/explanatory chain, not detecting authorial mood. Any dread or foreboding signal is subordinate to this analytical-expository mode. Q3 accessibility fail: The mood detection that does exist is partly schema-gated — 'Phlegethon' is a classical allusion (river of fire in Hades) that carries ominous/dread weight, and the passage does not explain or contextualize it. A Title I 9th grader without that knowledge loses that signal element. Additionally, named landmarks (Moskoe-ström, Helseggen, Lofoden) and the referenced scholar Jonas Ramus require outside context to carry full weight. The irony of smiling at Ramus's credulity while describing apocalyptic destruction is partially self-contained but embedded within an argumentative register that competes with mood as the dominant cognitive demand.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","Putting his feet, now, against the wall so as to get a good purchase, and pushing with all his force, while his companions pulled with all theirs, the trunk, with much difficulty, was slid out from under the bed, and its contents examined. The supposed brass with which it was filled was all in small, smooth pieces, varying from the size of a pea to that of a dollar; but the pieces were irregular in shape, although more or less flat-looking, upon the whole, “very much as lead looks when thrown upon the ground in a molten state, and there suffered to grow cool.” Now, not one of these officers for a moment suspected this metal to be anything _but_ brass. The idea of its being _gold_ never entered their brains, of course; how _could_ such a wild fancy have entered it? And their astonishment may be well conceived, when the next day it became known, all over Bremen, that the “lot of brass” which they had carted so contemptuously to the police office, without putting themselves to the trouble of pocketing the smallest scrap, was not only gold—real gold—but gold far finer than any employed in coinage—gold, in fact, absolutely pure, virgin, without the slightest appreciable alloy.",208,1,false,"Q1/Q2: The passage does not generate a nameable mood from the canonical vocabulary list. The dominant cognitive work is irony — dramatic irony built on the gap between the officers' ignorance and the reader's dawning awareness that the brass is gold. The authorial tone is sardonic/comic, and the reader's experience is one of wry amusement or narrative surprise, not any of the canonical mood states (tense, melancholy, ominous, hopeful, grief-struck, peaceful, dread-filled, wistful, suspenseful, eerie, oppressive, serene, unsettling, tranquil, drowsy, haunting, foreboding, nostalgic, reverent, desolate). No canonical mood signal is present or dominant.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","Whatever doubt may still envelop the _rationale_ of mesmerism, its startling _facts_ are now almost universally admitted. Of these latter, those who doubt, are your mere doubters by profession—an unprofitable and disreputable tribe. There can be no more absolute waste of time than the attempt to _prove_, at the present day, that man, by mere exercise of will, can so impress his fellow, as to cast him into an abnormal condition, of which the phenomena resemble very closely those of _death_, or at least resemble them more nearly than they do the phenomena of any other normal condition within our cognizance; that, while in this state, the person so impressed employs only with effort, and then feebly, the external organs of sense, yet perceives, with keenly refined perception, and through channels supposed unknown, matters beyond the scope of the physical organs; that, moreover, his intellectual faculties are wonderfully exalted and invigorated; that his sympathies with the person so impressing him are profound; and, finally, that his susceptibility to the impression increases with its frequency, while, in the same proportion, the peculiar phenomena elicited are more extended and more _pronounced_.",189,1,false,"Q1 fail: The passage does not create a detectable mood in the reader that can be named using the canonical vocabulary. The passage is an expository, argumentative claim about mesmerism — it asserts the validity of mesmeric facts and dismisses doubters. The dominant cognitive work is rhetorical persuasion and expository assertion, not atmospheric or affective mood-making. No canonical mood term (tense, melancholy, ominous, eerie, foreboding, etc.) meaningfully applies to the reader experience this passage generates. The dismissal of doubters as 'an unprofitable and disreputable tribe' is rhetorical posturing, not mood architecture. Q2 fails by extension: the dominant signal is argumentative rhetoric, not mood.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","When the ideas to which I have alluded first occurred to me, it was of course very natural that I should think of M. Valdemar. I knew the steady philosophy of the man too well to apprehend any scruples from him; and he had no relatives in America who would be likely to interfere. I spoke to him frankly upon the subject; and, to my surprise, his interest seemed vividly excited. I say to my surprise, for, although he had always yielded his person freely to my experiments, he had never before given me any tokens of sympathy with what I did. His disease was of that character which would admit of exact calculation in respect to the epoch of its termination in death; and it was finally arranged between us that he would send for me about twenty-four hours before the period announced by his physicians as that of his decease.",152,1,false,"Q2 dominance fail: The passage is dominated by plot-expository work — the narrator explaining his rationale for selecting Valdemar, describing their prior arrangement, and establishing the premise of the experiment. Any ominous or unsettling mood signal is subordinate to this expository/plot-setup function. The clinical observation of Valdemar's 'epoch of its termination in death' carries foreboding potential, but the surrounding matter-of-fact, almost clinical diction ('exact calculation,' 'finally arranged between us') flattens the mood signal beneath the informational register. A student's primary cognitive work on this passage would be comprehending the narrative situation, not detecting an authorial mood construction.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","After pressing Valdemar’s hand, I took these gentlemen aside, and obtained from them a minute account of the patient’s condition. The left lung had been for eighteen months in a semi-osseous or cartilaginous state, and was, of course, entirely useless for all purposes of vitality. The right, in its upper portion, was also partially, if not thoroughly, ossified, while the lower region was merely a mass of purulent tubercles, running one into another. Several extensive perforations existed; and, at one point, permanent adhesion to the ribs had taken place. These appearances in the right lobe were of comparatively recent date. The ossification had proceeded with very unusual rapidity; no sign of it had been discovered a month before, and the adhesion had only been observed during the three previous days. Independently of the phthisis, the patient was suspected of aneurism of the aorta; but on this point the osseous symptoms rendered an exact diagnosis impossible. It was the opinion of both physicians that M. Valdemar would die about midnight on the morrow (Sunday). It was then seven o’clock on Saturday evening.",181,1,false,"Q2 dominance fail: The passage is dominated by dense clinical/medical description functioning as plot exposition. Any mood signal (ominous, foreboding, dread) is subordinate to the delivery of medical data about Valdemar's condition. The target skill — reader mood created through diction, imagery, omission, rhythm — is not the primary cognitive work the passage demands. Q3 accessibility fail: Detection of even a secondary foreboding signal requires parsing highly specialized medical vocabulary ('semi-osseous,' 'cartilaginous,' 'ossification,' 'purulent tubercles,' 'phthisis,' 'aneurism of the aorta') that is not resolvable from sentence context alone and creates a near-total schema-gate for a Title I 9th grader. The clinical register buries whatever atmospheric signal exists beneath vocabulary density that functions as a technical barrier, not a stylistic one. Q4 isolation fail: Vocabulary density and medical terminology create severe cognitive overload. A student cannot access the mood signal because they cannot process the content register. The final two sentences contain the only accessible dread-signal ('M. Valdemar would die about midnight on the morrow' / 'It was then seven o'clock on Saturday evening'), but two isolated sentences at the end of a vocabulary-dense paragraph are insufficient density for any item pattern.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","When they had gone, I spoke freely with M. Valdemar on the subject of his approaching dissolution, as well as, more particularly, of the experiment proposed. He still professed himself quite willing and even anxious to have it made, and urged me to commence it at once. A male and a female nurse were in attendance; but I did not feel myself altogether at liberty to engage in a task of this character with no more reliable witnesses than these people, in case of sudden accident, might prove. I therefore postponed operations until about eight the next night, when the arrival of a medical student with whom I had some acquaintance, (Mr. Theodore L—l,) relieved me from farther embarrassment. It had been my design, originally, to wait for the physicians; but I was induced to proceed, first, by the urgent entreaties of M. Valdemar, and secondly, by my conviction that I had not a moment to lose, as he was evidently sinking fast.",163,1,false,"Q2 DOMINANCE FAIL: The passage is dominated by procedural plot exposition — who was present, why operations were postponed, who arrived, what the narrator decided and why. While there is a faint undercurrent of dread or foreboding (a dying man, urgency, 'sudden accident,' 'sinking fast'), the mood signal is subordinate to narrative logistics and character action. The reader's primary cognitive work is tracking what happened and why, not reading authorial diction choices to name a mood. No single canonical mood term (ominous, foreboding, dread-filled) is clearly dominant; the passage reads more as clinical procedural narration than atmospheric mood-making.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","It remained in all respects as I have last described it, with the exception that the mirror no longer afforded evidence of respiration. An attempt to draw blood from the arm failed. I should mention, too, that this limb was no farther subject to my will. I endeavored in vain to make it follow the direction of my hand. The only real indication, indeed, of the mesmeric influence, was now found in the vibratory movement of the tongue, whenever I addressed M. Valdemar a question. He seemed to be making an effort to reply, but had no longer sufficient volition. To queries put to him by any other person than myself he seemed utterly insensible—although I endeavored to place each member of the company in mesmeric rapport with him. I believe that I have now related all that is necessary to an understanding of the sleep-waker’s state at this epoch. Other nurses were procured; and at ten o’clock I left the house in company with the two physicians and Mr. L—l.",171,1,false,"Q2_DOMINANCE: The dominant signal in this passage is clinical, procedural narration — a methodical account of observations (failed blood draw, unresponsive limb, vibratory tongue, mesmeric rapport attempts). While an eerie or unsettling mood is faintly present beneath the surface, the primary cognitive work the reader is doing is following a sequence of medical/pseudo-scientific observations reported in detached, documentary prose. The mood signal is subordinate to the procedural plot-reporting primitive. A reader's primary engagement is tracking what the narrator observes and does, not detecting a constructed authorial mood. The clinical flatness that could function as ironic understatement is too muted and too buried under procedural content to constitute a dominant mood signal accessible to a Title I 9th grader.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","For the most wild, yet most homely narrative which I am about to pen, I neither expect nor solicit belief. Mad indeed would I be to expect it, in a case where my very senses reject their own evidence. Yet, mad am I not—and very surely do I not dream. But to-morrow I die, and to-day I would unburthen my soul. My immediate purpose is to place before the world, plainly, succinctly, and without comment, a series of mere household events. In their consequences, these events have terrified—have tortured—have destroyed me. Yet I will not attempt to expound them. To me, they have presented little but horror—to many they will seem less terrible than _barroques_. Hereafter, perhaps, some intellect may be found which will reduce my phantasm to the common-place—some intellect more calm, more logical, and far less excitable than my own, which will perceive, in the circumstances I detail with awe, nothing more than an ordinary succession of very natural causes and effects.",164,1,false,"Q2 DOMINANCE FAIL: The dominant cognitive work in this passage is character-interiority — the narrator's confession of guilt, psychological instability, and impending death. The narrator explicitly tells us what he feels ('have terrified—have tortured—have destroyed me,' 'detail with awe,' 'horror'). The passage is primarily a first-person confession of a disturbed mental state, not an authorial mood construction operating on the reader through diction and imagery. While dread-adjacent signals exist (foreboding, unsettling), they are delivered through explicit character self-report rather than through the authorial craft of diction, imagery, omission, and rhythm working on the reader independently of what the character says. A student reading this passage would be tracking what the narrator feels and claims, not detecting an author-constructed mood. The target skill — identifying mood the writer creates in the reader, separate from what characters feel — is subordinate to the confessional character-voice primitive.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","From my infancy I was noted for the docility and humanity of my disposition. My tenderness of heart was even so conspicuous as to make me the jest of my companions. I was especially fond of animals, and was indulged by my parents with a great variety of pets. With these I spent most of my time, and never was so happy as when feeding and caressing them. This peculiarity of character grew with my growth, and in my manhood, I derived from it one of my principal sources of pleasure. To those who have cherished an affection for a faithful and sagacious dog, I need hardly be at the trouble of explaining the nature or the intensity of the gratification thus derivable. There is something in the unselfish and self-sacrificing love of a brute, which goes directly to the heart of him who has had frequent occasion to test the paltry friendship and gossamer fidelity of mere _Man_.",159,1,false,"Q1/Q2 FAIL: The passage does not establish a mood in the reader that maps to canonical vocabulary. The dominant cognitive work is character self-description and ironic commentary on human vs. animal loyalty — this is characterization and irony, not authorial mood-making. The narrator presents himself as gentle and fond of animals, then pivots to cynical commentary on human friendship ('paltry friendship and gossamer fidelity of mere Man'). The reader is invited to understand the narrator's worldview and detect irony, not to experience a sustained atmospheric mood (e.g., dread, ominous, melancholy, wistful). No canonical mood term cleanly names what the passage does to the reader as a whole. The irony is the dominant signal, not mood.",,,,,,v4,rejected_by_filter
mood_misreading,2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan","Our friendship lasted, in this manner, for several years, during which my general temperament and character—through the instrumentality of the Fiend Intemperance—had (I blush to confess it) experienced a radical alteration for the worse. I grew, day by day, more moody, more irritable, more regardless of the feelings of others. I suffered myself to use intemperate language to my wife. At length, I even offered her personal violence. My pets, of course, were made to feel the change in my disposition. I not only neglected, but ill-used them. For Pluto, however, I still retained sufficient regard to restrain me from maltreating him, as I made no scruple of maltreating the rabbits, the monkey, or even the dog, when by accident, or through affection, they came in my way. But my disease grew upon me—for what disease is like Alcohol!—and at length even Pluto, who was now becoming old, and consequently somewhat peevish—even Pluto began to experience the effects of my ill temper.",162,1,false,"Q2 dominance fail: The dominant cognitive work in this passage is character-level — tracking the narrator's moral deterioration, his escalating cruelty toward wife and pets, and his self-aware confession. Any mood signal (e.g., dread-filled, oppressive, unsettling) is subordinate to the character-emotion and plot-action primitives. The reader is primarily processing what the narrator did and felt, not what mood the author is constructing in the reader through diction, imagery, or rhythm. The target skill — author-to-reader mood creation distinct from character emotion — cannot be cleanly isolated here.",,,,,,v4,rejected_by_filter
